#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
3000988	1	861	1	150	17.4216	0.174216	36.4	255
3000938	1	861	1	150	17.4216	0.174216	36.4	255
3000928	1	831	1	150	18.0505	0.180505	36.4	255
3002320	1	882	5	450	51.0204	0.85034	39.5	204
3001711	1	825	36	742	89.9394	6.54182	39.4	234
3002012	1	1149	23	558	48.564	2.99478	39	255
3001832	1	1146	1	150	13.089	0.13089	39.6	12
3002372	1	900	2	300	33.3333	0.333333	36.1	255
3001800	1	828	45	632	76.3285	8.12802	39.1	249
3003163	1	876	4	206	23.516	0.684932	39.2	255
3003109	1	1476	36	1195	80.9621	3.65854	39.3	255
3002415	1	876	2	150	17.1233	0.342466	37.1	255
3002528	1	465	2	300	64.5161	0.645161	39.7	255
3002771	1	681	9	392	57.5624	1.98238	38.9	255
3002413	1	876	2	150	17.1233	0.342466	37.1	255
3003550	1	1467	2	300	20.4499	0.204499	39.8	255
3002125	1	1146	4	300	26.178	0.52356	39.7	255
3002188	1	1152	10	745	64.6701	1.30122	39.6	255
3000904	1	861	1	150	17.4216	0.174216	36.4	255
3000879	1	783	1	150	19.1571	0.191571	36.4	255
3002762	1	645	9	392	60.7752	2.09302	38.9	255
3001502	1	801	24	741	92.5094	4.49438	39.4	223
3002795	1	657	6	589	89.6499	1.36986	39.6	170
3002053	1	1146	4	300	26.178	0.52356	39.7	255
3002546	1	555	27	413	74.4144	7.27207	39.6	236
3002083	1	1146	4	300	26.178	0.52356	39.7	255
3002350	1	864	12	484	56.0185	2.08333	39.5	255
3000996	1	861	1	150	17.4216	0.174216	36.4	255
3002620	1	780	76	445	57.0513	14.6154	39.2	215
3002778	1	645	9	392	60.7752	2.09302	38.9	255
3001429	1	801	24	741	92.5094	4.49438	39.4	255
3000916	1	861	1	150	17.4216	0.174216	36.4	255
3000887	1	861	1	150	17.4216	0.174216	36.4	255
3001849	1	1146	1	150	13.089	0.13089	39.6	255
3002157	1	1149	7	656	57.0931	0.913838	38.7	255
3002366	1	927	1	150	16.1812	0.161812	39.8	255
3000965	1	861	1	150	17.4216	0.174216	36.4	255
3000979	1	861	1	150	17.4216	0.174216	36.4	255
