#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
3000988	1	861	2	188	21.8351	0.348432	37.8	255
3000938	1	861	2	188	21.8351	0.348432	37.8	255
3000928	1	831	2	188	22.6233	0.361011	37.8	255
3002320	1	882	10	640	72.5624	1.70068	39.1	255
3001711	1	825	71	755	91.5152	12.8982	39.1	241
3002012	1	1149	43	592	51.5231	5.60836	39.1	255
3001832	1	1146	2	223	19.459	0.26178	39.5	7
3002372	1	900	3	396	44	0.5	34.4	255
3001800	1	828	90	632	76.3285	16.2742	38.9	255
3003163	1	876	8	206	23.516	1.36986	38.8	255
3003109	1	1476	72	1292	87.5339	7.31707	39.2	255
3002415	1	876	4	206	23.516	0.684932	36.9	255
3002528	1	465	4	302	64.9462	1.29032	38.8	255
3002771	1	681	18	476	69.8972	3.96476	38.6	255
3002413	1	876	4	206	23.516	0.684932	36.9	255
3003550	1	1467	4	300	20.4499	0.408998	39.3	255
3002125	1	1146	6	446	38.918	0.78534	39.5	255
3002188	1	1152	20	887	76.9965	2.59896	39.1	255
3000904	1	861	2	188	21.8351	0.348432	37.8	255
3000879	1	783	2	188	24.0102	0.383142	37.8	255
3002762	1	645	18	476	73.7984	4.18605	38.6	255
3001502	1	801	48	747	93.2584	8.98627	39.1	244
3002795	1	657	12	615	93.6073	2.73973	39.2	128
3002053	1	1146	8	446	38.918	1.04712	39.5	255
3002546	1	555	54	413	74.4144	14.5568	39.3	232
3002083	1	1146	6	446	38.918	0.78534	39.5	172
3002350	1	864	25	484	56.0185	4.34028	38.9	255
3000996	1	861	2	188	21.8351	0.348432	37.8	255
3002620	1	780	149	445	57.0513	28.6538	38.8	245
3002778	1	645	18	476	73.7984	4.18605	38.6	255
3001429	1	801	48	747	93.2584	8.98627	39.1	255
3000916	1	861	2	188	21.8351	0.348432	37.8	255
3000887	1	861	2	188	21.8351	0.348432	37.8	255
3001849	1	1146	2	223	19.459	0.26178	39.5	255
3002157	1	1149	14	797	69.3647	1.82768	38.8	255
3002366	1	927	1	150	16.1812	0.161812	39.8	255
3000965	1	861	2	188	21.8351	0.348432	37.8	255
3000979	1	861	2	188	21.8351	0.348432	37.8	255
3002066	1	1146	8	446	38.918	1.04712	39.5	255
3001904	1	876	8	206	23.516	1.36986	38.8	255
3002092	1	1146	6	446	38.918	0.78534	39.5	255
3002067	1	1146	6	446	38.918	0.78534	39.5	255
3002059	1	1146	6	446	38.918	0.78534	39.5	255
3002753	1	645	16	243	37.6744	3.72093	38.5	255
3000972	1	861	2	188	21.8351	0.348432	37.8	255
